Kingdom	Phylum	Class	Genus
Bacteria	Proteobacteria	Alphaproteobacteria	Afipia
Bacteria	Proteobacteria	Alphaproteobacteria	Aquabacterium
Bacteria	Proteobacteria	Alphaproteobacteria	Asticcacaulis
Bacteria	Proteobacteria	Alphaproteobacteria	Aurantimonas
Bacteria	Proteobacteria	Alphaproteobacteria	Beijerinckia
Bacteria	Proteobacteria	Alphaproteobacteria	Bosea
Bacteria	Proteobacteria	Alphaproteobacteria	Bradyrhizobium
Bacteria	Proteobacteria	Alphaproteobacteria	Brevundimonas
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacter
Bacteria	Proteobacteria	Alphaproteobacteria	Craurococcus
Bacteria	Proteobacteria	Alphaproteobacteria	Devosia
Bacteria	Proteobacteria	Alphaproteobacteria	Hoeflea
Bacteria	Proteobacteria	Alphaproteobacteria	Mesorhizobium
Bacteria	Proteobacteria	Alphaproteobacteria	Methylobacterium
Bacteria	Proteobacteria	Alphaproteobacteria	Novosphingobium
Bacteria	Proteobacteria	Alphaproteobacteria	Ochrobactrum
Bacteria	Proteobacteria	Alphaproteobacteria	Paracoccus
Bacteria	Proteobacteria	Alphaproteobacteria	Pedomicrobium
Bacteria	Proteobacteria	Alphaproteobacteria	Phyllobacterium
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobium
Bacteria	Proteobacteria	Alphaproteobacteria	Roseomonas
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingobium
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonas
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingopyxis
Bacteria	Proteobacteria	Betaproteobacteria	Acidovorax
Bacteria	Proteobacteria	Betaproteobacteria	Azoarcus
Bacteria	Proteobacteria	Betaproteobacteria	Azospira
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderia
Bacteria	Proteobacteria	Betaproteobacteria	Comamonas
Bacteria	Proteobacteria	Betaproteobacteria	Cupriavidus
Bacteria	Proteobacteria	Betaproteobacteria	Curvibacter
Bacteria	Proteobacteria	Betaproteobacteria	Delftia
Bacteria	Proteobacteria	Betaproteobacteria	Duganella
Bacteria	Proteobacteria	Betaproteobacteria	Herbaspirillum
Bacteria	Proteobacteria	Betaproteobacteria	Janthinobacterium
Bacteria	Proteobacteria	Betaproteobacteria	Kingella
Bacteria	Proteobacteria	Betaproteobacteria	Leptothrix
Bacteria	Proteobacteria	Betaproteobacteria	Limnobacter
Bacteria	Proteobacteria	Betaproteobacteria	Massilia
Bacteria	Proteobacteria	Betaproteobacteria	Methylophilus
Bacteria	Proteobacteria	Betaproteobacteria	Methyloversatilis
Bacteria	Proteobacteria	Betaproteobacteria	Oxalabacter
Bacteria	Proteobacteria	Betaproteobacteria	Pelomonas
Bacteria	Proteobacteria	Betaproteobacteria	Polaromonas
Bacteria	Proteobacteria	Betaproteobacteria	Ralstonia
Bacteria	Proteobacteria	Betaproteobacteria	Schlegelella
Bacteria	Proteobacteria	Betaproteobacteria	Sulfuritalea
Bacteria	Proteobacteria	Betaproteobacteria	Undibacterium
Bacteria	Proteobacteria	Betaproteobacteria	Variovorax
Bacteria	Proteobacteria	Gammaproteobacteria	Enhydrobacter
Bacteria	Proteobacteria	Gammaproteobacteria	Nevskia
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudoxanthomonas
Bacteria	Proteobacteria	Gammaproteobacteria	Psychrobacter
Bacteria	Proteobacteria	Gammaproteobacteria	Stenotrophomonas
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonas
Bacteria	Actinobacteria	Actinobacteria	Aeromicrobium
Bacteria	Actinobacteria	Actinobacteria	Arthrobacter
Bacteria	Actinobacteria	Actinobacteria	Beutenbergia
Bacteria	Actinobacteria	Actinobacteria	Brevibacterium
Bacteria	Actinobacteria	Actinobacteria	Curtobacterium
Bacteria	Actinobacteria	Actinobacteria	Dietzia
Bacteria	Actinobacteria	Actinobacteria	Geodermatophilus
Bacteria	Actinobacteria	Actinobacteria	Janibacter
Bacteria	Actinobacteria	Actinobacteria	Kocuria
Bacteria	Actinobacteria	Actinobacteria	Microbacterium
Bacteria	Actinobacteria	Actinobacteria	Micrococcus
Bacteria	Actinobacteria	Actinobacteria	Microlunatus
Bacteria	Actinobacteria	Actinobacteria	Patulibacter
Bacteria	Actinobacteria	Actinobacteria	Propionibacterium
Bacteria	Actinobacteria	Actinobacteria	Rhodococcus
